"","Plot_ID","mean_offset","median_offset","equilibrium","sd_offset","sd_offset_mean_daily","amplitude_offset.95","amplitude_offset.975","amplitude_offset_mean_daily","CV_offset","slope","offset_of_maxima.95","offset_of_maxima.975","offset_of_maxima1.00","offset_of_maxima_mean_daily.95","offset_of_maxima_mean_daily.975","offset_of_maxima_mean_daily1.00","p95_daily_maxima_offset","offset_of_minima.05","offset_of_minima.025","offset_of_minima.00","offset_of_minima_mean_daily.05","offset_of_minima_mean_daily.025","offset_of_minima_mean_daily.00","p5_daily_minima_offset"
"11","59","-0.51153577932401","-0.702076358300928","275.949267185527","-1.00345980237943","-0.929201491031635","-4.90860518828492","-6.2474319191341","-4.12014909539835","5.92141491734811","0.775635718991056","-1.22512984468347","-1.78742323266897","-1.96243945493694","-2.10093342018233","-2.18295424424654","-2.26226804686617","3.00964272567724","3.68347534360146","4.46000868646513","1.64384537715165","1.34739910748368","1.59640705098822","1.85788104853218","-2.24343778407518"
"12","48","-0.515252124425297","-0.581125635177841","273.038702927655","0.0306899310023718","0.066964287933032","-0.225667657594386","-0.0348955702311855","-2.9050850330002","-0.252563880651813","0.890106666424208","0.418787915580197","0.597197101292295","6.35443839317668","-1.64612497617183","-1.50800452180805","-1.29369851100347","7.51384541030741","0.644455573174582","0.63209267152348","0.66582744947948","1.01251047735598","1.30620629860196","1.61138652199672","-2.40653267798665"
"13","36","0.100781931637818","-0.0799608598165946","278.857580791946","0.0818384202503228","0.16568794636644","0.00697229095072771","-0.297009873814545","-2.302671102205","-0.41305717180731","0.915743599870315","0.762857892494878","0.234311676934794","6.5840291644505","-0.6424209375637","-0.505257397246576","-0.297489446203077","7.28701969069767","0.755885601544151","0.53132155074934","1.90291812605591","1.34532500769803","1.67323543521677","2.00518165600192","-1.92886123540079"
"14","51","-0.518077814290373","-0.847529902912527","273.281708775029","0.173932776960359","0.218007522973669","-0.551416446789915","1.66187641999244","-1.74195811630269","-0.992878612001128","0.885359894119727","0.720813882798268","2.98832415476437","12.0207989507181","-0.608458824814896","-0.447001241586193","-0.279774817212508","12.5215944787206","1.27223032958818","1.32644773477193","1.3428000881072","0.907985548734956","1.17886206930647","1.46218329909018","-2.8657144550271"
"15","41","-0.00355376765939484","-0.16073751669353","277.94843864433","-0.253295947038175","-0.232445311099018","-1.84120309519056","-2.14095849225509","-0.910409673115285","1.37723093314639","0.838119438130954","1.02280643292863","0.908773664379737","13.4229752803991","-0.530082623596922","0.0105966769032064","0.728102109741494","12.9181088597838","2.8640095281192","3.04973215663483","1.20931680158264","1.10158186301956","1.36036792168985","1.63851178285678","-3.34871413322977"
"16","52","-0.21981876034665","-0.408723943059528","276.480209935602","-0.316180476852947","-0.254648008892999","-1.62543348997519","-2.68724254894749","-2.5491967479477","1.78015356563596","0.83178161928344","0.31514605258235","-0.25122877211578","6.53224248546866","-0.9070927666277","-0.784992784951497","-0.645128689758732","8.33907485013302","1.94057954255754","2.43601377683171","0.271470152804966","1.33456774010398","1.61797794508751","1.90406805818896","-2.68001622075077"
"17","50","-0.561198297993194","-0.790209320701649","275.000255229091","-0.639264213083742","-0.618850212036504","-3.14902295889095","-3.02491002108229","-2.62161063511848","3.43269381399282","0.821063974617214","-1.63537872778642","-1.35124886704665","7.80976407132619","-1.73363307176102","-1.4714291308948","-1.12888057288876","8.19839788666288","1.51364423110454","1.67366115403564","0.703111215569209","1.0410507602086","1.26046076836432","1.49273006222973","-2.27826620245039"
"18","37","0.33607487051544","0.137187613497161","279.315501460611","-0.873765027119607","-0.812313391344018","-4.34324751546001","-6.2291271617205","-3.67829163335614","5.0854707155847","0.790841988120649","-0.821133784832853","-1.82319932926987","-2.6590655909942","-0.871200902684121","-0.986018852262629","-1.09503297640679","4.16502727016118","3.52211373062715","4.40592783245063","4.21005885395374","1.94545657811962","2.26240694844158","2.58325865694935","-1.776117881908"
"19","54","-0.406316958815513","-0.601962856141853","274.459984420123","-0.0889575249824572","-0.0207496444153473","-0.976046508385195","-1.93376101112221","-2.83632780065825","0.455980154961395","0.871353437380485","0.400840815826939","0.339139576400896","5.10855227818269","-1.45348009652921","-1.23789024734069","-0.946414824439464","8.65996491393437","1.37688732421213","2.27290058752311","2.49447831746676","1.292604558683","1.59102200122346","1.88991297621879","-2.37276711312018"
"20","38","0.371564807255225","0.201982784067525","280.005941596127","-0.42499654768403","-0.400823351895244","-2.80173338171244","-2.88483866120725","-2.29223999184414","2.41861763861336","0.825969438129161","0.83972807003488","0.895401316331913","4.54158518157465","-0.373632954369524","-0.241754054496838","-0.0446305420504387","8.12064339780029","3.64146145174732","3.78023997753917","2.5874445875001","1.6331920922002","1.93223169916621","2.2476094497937","-2.59753680886092"
"21","58","-0.394732723912127","-0.58994915645161","276.074338766367","-0.802435426512853","-0.738070249318333","-3.23064394033673","-4.71989452489163","-3.66495184094545","4.46955541344972","0.802703610328206","-0.657814095171375","-1.67304022323719","-0.725444252810007","-1.87155331750221","-1.86634719615935","-1.82385498637916","4.83034778195795","2.57282984516536","3.04685430165443","1.97823670937009","1.35488313872293","1.59271364785315","1.84109685456629","-2.19234789827681"
"22","57","0.105285193001358","-0.00128060186779066","278.095258034083","-0.422964470499762","-0.370555908399903","-2.61565508369392","-3.04420667047611","-3.72442354356509","2.64738926429906","0.812983211564282","0.908864406975738","1.24476133635739","0.449057287382573","-1.08055685975258","-1.09680471830218","-1.08201893168008","5.4473054366787","3.52451949066966","4.2889680068335","4.98145531296524","1.98261264868795","2.31497415712454","2.64240461188501","-2.39121694470607"
"23","53","-0.825020929350977","-0.988129631984322","273.811867947327","-0.854405866993349","-0.839635239782158","-3.70620244339386","-4.01608488190288","-3.685812762027","4.54160329239613","0.806391456324438","-1.84569058246342","-2.35922106779162","-3.59769812922337","-2.22231117204888","-2.29766166823675","-2.35933839988942","2.55269764591166","1.86051186093044","1.65686381411126","1.28171778724703","0.814666640510029","1.06164920894606","1.32647436213758","-2.80809908016843"
