"","site","a","v","e","err","mean_offset","median_offset","equilibrium","sd_offset","sd_offset_mean_daily","amplitude_offset.95","amplitude_offset.975","amplitude_offset_mean_daily","CV_offset","slope","offset_of_maxima.95","offset_of_maxima.975","offset_of_maxima1.00","offset_of_maxima_mean_daily.95","offset_of_maxima_mean_daily.975","offset_of_maxima_mean_daily1.00","p95_daily_maxima_offset","offset_of_minima.05","offset_of_minima.025","offset_of_minima.00","offset_of_minima_mean_daily.05","offset_of_minima_mean_daily.025","offset_of_minima_mean_daily.00","p5_daily_minima_offset"
"2477","NC-915700-99999","-5","0.3","0.6","1","-4.92905503756994","-5.03504894912124","-2.35818261739183","-0.224973220490432","0.479872436856482","3.04727946132259","3.78000543108561","3.51289574938605","-0.804517769181366","0.833745344921076","-3.33826991009412","-3.07589268178654","-2.35342379383263","-3.49002402322712","-3.30995210848618","-3.12274323671381","-0.656240006744238","-6.3855493714167","-6.85589811287215","22.9236764000798","-6.27138983620557","-6.44480124140326","-6.63563898609987","-9.10469978508141"
"2478","NC-915700-99999","-5","0.3","1","1","-4.61412770498519","-4.85538705632336","17.5722114908856","-0.845949836235524","0.0771901810347781","2.94124904181743","3.4636255070557","3.1467732883772","0.0650589009214668","0.525160042219531","-3.38314192266934","-3.16801249032973","-0.900280295537605","-3.24208711908207","-3.05435129572212","-2.84383517837275","-0.520733132997971","-6.32439096448677","-6.63163799738543","49.0194741993245","-5.59284383095923","-5.78353631834192","-5.99060846674995","-9.24097069846831"
"2479","NC-915700-99999","-5","0.5","-0.2","1","-5.03124936697322","-4.93639201913802","35.0762777353926","3.30063775088605","2.37026788369138","5.7578135727058","6.93825164240336","6.1024773924829","-2.98675370913816","1.64612216489251","-1.67300333496701","-1.45384796014199","3.69424095256474","-2.45548479875758","-2.18787725546856","-1.9195700312793","0.957844999712885","-7.43081690767282","-8.39209960254535","-54.8458557749359","-7.53113710569824","-7.77107699736568","-8.0220474237622","-10.2882765137117"
"2480","NC-915700-99999","-5","0.5","-0.6","1","-5.24403065604102","-4.98609035593627","32.5712608739853","5.07294647944536","2.93119501998028","5.08599903755127","6.56435286370785","6.30408005133279","-3.50809721820426","1.99284496392326","-2.08286793792437","-1.37347628427104","4.04893368656274","-2.78104114281645","-2.5032660553968","-2.2114845863793","1.16381614987152","-7.16886697547564","-7.93782914797888","-92.4593553276516","-8.03178656057552","-8.2661699157281","-8.5155646377121","-10.1361701032911"
"2481","NC-915700-99999","-5","0.5","-1","1","-5.42100805641974","-5.09350655146461","31.3892914546771","6.8560711764955","3.60438706387267","5.69471099858915","7.41142340400738","7.029086870444","-3.86863724669851","2.32224453753665","-1.58188358816805","-0.884058118899141","4.76295075429499","-2.77264911419155","-2.40516479754014","-2.00152062452351","1.78803841130949","-7.2765945867572","-8.29548152290652","-125.476201057798","-8.5824703032402","-8.79981848903686","-9.03060749496752","-10.215255584238"
"2482","NC-915700-99999","-5","0.5","0.2","1","-4.99380977806889","-5.00238857618302","43.9973819725859","1.67578809525788","1.70606295342818","4.9667115448515","6.04304307920743","5.21894131979359","-2.28036797464521","1.29888835887235","-2.21364938311384","-1.79673054735139","1.26210943688365","-2.73426215430737","-2.50858344924246","-2.27038711604912","0.360701965697606","-7.18036092796534","-7.83977362655883","-21.0036871615663","-7.11369596252807","-7.2988245877536","-7.4893284358427","-9.87832898038463"
"2483","NC-915700-99999","-5","0.5","0.6","1","-4.77904310404948","-4.97828418109983","-54.0296578227345","0.326171235102793","1.00958267705608","4.57975309587724","5.28736532386425","4.69608522349542","-1.31309780763563","0.941230986140629","-2.36085629699579","-1.98262017292598","1.08317230409357","-2.66254686929237","-2.45235320706383","-2.23218279336633","0.403698758904732","-6.94060939287303","-7.26998549679022","14.7709832138296","-6.47013827897409","-6.6870701608609","-6.92826801686174","-9.54812012942649"
"2484","NC-915700-99999","-5","0.5","1","1","-4.59308386034904","-4.89215864446613","15.8855439148925","-0.331630851866645","0.558955704387625","4.40952948808282","4.89771345515049","4.36028243901754","-0.60867226276208","0.597235506672975","-2.24290713922931","-2.01577683300391","-0.776739895776174","-2.51406941256668","-2.29084290982366","-2.06012017444825","0.474978283019995","-6.65243662731213","-6.91349028815439","49.5692793099235","-6.02111796969546","-6.21219192108888","-6.4204026134658","-9.37735200875286"
"2485","NC-915700-99999","1","-0.1","-0.2","1","0.971751057431907","0.996703328908467","2.49587903687672","0.473970163820832","0.401347540760433","1.32882958655759","1.94896259429689","1.94157418610983","-0.336520865427897","1.03919368880419","1.4355620289153","1.55005500211312","2.41452208640252","1.25213614145339","1.3959454071314","1.54556092675351","3.92670288707225","0.106732442357707","-0.398907592183775","-6.98860609448341","-0.0101263197659034","-0.196071677828393","-0.396013259356319","-2.59948181691058"
"2486","NC-915700-99999","1","-0.1","-0.6","1","0.821724131045629","0.88594531821991","23.2660117008689","1.30124465612325","0.614647798639","0.99398050141664","1.53593109183308","1.90597659264284","-1.10288425451708","1.20423488580869","1.0973723463407","1.17607580532105","3.06620376513683","0.868276890803014","1.04249953381314","1.23791850210169","3.95635672187342","0.103391844924058","-0.359855286512037","-23.373072171969","-0.221361686102886","-0.436642662192007","-0.66805809054115","-2.76497338084073"
"2487","NC-915700-99999","1","-0.1","-1","1","0.694695932298789","0.871428063363862","25.6606409894306","2.44140877641921","1.04554396939471","1.07714751350434","2.23967003912766","2.38993303161116","-1.85874265572438","1.42650844555909","1.2820252377848","1.72039210240447","5.42341670558402","1.02916960307563","1.20402193563475","1.40400286186109","3.99562029402144","0.204877724280465","-0.519277936723196","-46.4094372043578","-0.578410892360026","-0.772067427748744","-0.985930169750075","-2.8920704261841"
"2488","NC-915700-99999","1","-0.1","0.2","1","1.06264696303002","1.02289870711538","32.7773039180802","-0.577401681038586","-0.130632120652554","0.499209007733153","1.06723497299625","1.54129632166942","1.05277141364131","0.80636424195977","1.07742718988782","1.18582374168692","3.60160542551046","1.16905093601351","1.34376739471833","1.54465342132559","3.98207997348415","0.578218182154668","0.118588768690678","16.2395275734709","0.317324755624358","0.167178820534966","0.00335709965616552","-2.25534982365966"
"2489","NC-915700-99999","1","-0.1","0.6","1","1.07952481832056","0.943726292755404","29.879771621723","-1.30978844048331","-0.470804169667071","0.587353743414596","1.06675041863167","1.04446724173343","2.5098986773382","0.583248638433817","0.880190046688817","0.859546189326949","2.95636300402627","1.12959624541651","1.2334864655517","1.34283591388279","3.60763016467783","0.292836303274221","-0.207204229304725","40.4046305528691","0.647682761241642","0.483467548760172","0.298368672149365","-2.67409618330287"
"2490","NC-915700-99999","1","-0.1","1","1","1.19336617114691","0.971512835425013","29.2676300001881","-1.66882478084854","-0.747439681924158","0.216119256829305","0.425820113678792","0.85056350868157","3.51220257357621","0.396738776458293","0.807357391547569","0.804308122898924","1.44423861311736","1.1400994691808","1.27895986001831","1.43888549492491","3.53735606453123","0.591238134718264","0.378488009220131","56.8037813733916","0.908001663198055","0.755084906413533","0.588321986243342","-2.55746852855673"
"2491","NC-915700-99999","1","-0.3","-0.2","1","0.978430625325352","0.961858838642431","32.772635807507","-0.482885039285416","-0.276847905202945","-0.340689869752186","0.443060460168279","0.403402133322377","0.881969561505468","0.821558374370903","0.317716971638305","0.605652446210918","3.26395692631472","0.394975175964729","0.499690513887617","0.629888076608131","3.15403062944218","0.658406841390491","0.162591986042639","9.00116045810368","0.584146383619646","0.417838848547225","0.226485943285754","-2.54750033653187"
"2492","NC-915700-99999","1","-0.3","-0.6","1","0.878676068002464","0.922998515834699","52.1748929629375","0.180054787076866","0.0117715599316502","-0.108507928909617","0.426792738356824","0.715239608785387","-0.0319680686878581","0.964691178437123","0.238506814368371","0.431679325927036","2.2628524190073","0.37570466069002","0.510084282007805","0.670706082320852","2.72304070334224","0.347014743277988","0.00488658757021199","-4.45697957716543","0.325948857212617","0.150973839543034","-0.0445335264645355","-2.49003592322391"
"2493","NC-915700-99999","1","-0.3","-1","1","0.81356701290816","0.995116742816794","21.650414400936","1.11738512322783","0.332722589972924","-0.00549551432105488","0.570657836802674","0.989195761105723","-0.958344865598063","1.14427443220377","0.516499914347627","0.760262594969838","3.40501120486922","0.452670043156618","0.573098268183352","0.708534840918065","3.3738284699554","0.521995428668681","0.189604758167164","-24.2600706190896","0.0945515740581914","-0.0855936980580748","-0.280660920187658","-2.6335166806968"
"2494","NC-915700-99999","1","-0.3","0.2","1","0.956466783702929","0.871066751685746","29.9092174847725","-1.24735324012665","-0.590125500459691","-0.19785049868889","0.193383259609469","0.156750109416071","2.32707565352449","0.634905531445472","0.285763529257736","0.352661457553268","0.678557832705614","0.363771899198774","0.456633733175438","0.558038855772378","3.38079459670917","0.483614027946626","0.159278197943799","31.0476534989859","0.773643238312305","0.596163788296344","0.401288746356307","-2.11149905341859"
"2495","NC-915700-99999","1","-0.3","0.6","1","1.25694869736094","1.09483495653157","29.7439682083244","-1.73210953957345","-0.907148364998737","-0.672775912736814","-0.168991515825169","-0.00129099618825808","3.72810954593887","0.487906486262661","0.292018927688929","0.458134692676467","0.254219633005455","0.625040178506565","0.722207832950033","0.830274818193411","3.38199199162458","0.964794840425743","0.627126208501636","42.7214336065868","1.17903634048808","1.01301447819303","0.83156581438167","-1.87191983485264"
"2496","NC-915700-99999","1","-0.3","1","1","1.1049127961589","0.861043945022018","28.895743217309","-2.03324918903021","-1.11319135483519","-0.717504639143865","-0.578456110953777","-0.155395823167562","4.725904221514","0.312139941174529","0.212978288556855","0.197273372791919","0.042576374502417","0.611593750118234","0.681043108223182","0.758495994643121","3.17761419493991","0.930482927700719","0.775729483745696","57.0434264807921","1.17996369180141","1.05015013090811","0.913891817810683","-2.14282643540231"
"2497","NC-915700-99999","1","-0.5","-0.2","1","0.975468049359228","0.928463042619835","29.6211002030503","-1.48596397074932","-0.951632424351256","-1.69691767543315","-1.22317366510485","-0.781004623903875","2.92499921880652","0.581642531893264","-0.484948648244163","-0.442021796553611","0.261084966402194","-0.141195934263481","-0.0690538835553191","0.0244726793139442","3.08609946888091","1.21196902718899","0.781151868551238","26.870225425546","1.1477321886557","0.985872830700471","0.80547730321782","-2.09941527029022"
"2498","NC-915700-99999","1","-0.5","-0.6","1","1.02825928450412","1.0576923906209","30.9188977013253","-0.881617258181806","-0.686896855721817","-1.56555276251273","-1.14056313815052","-0.707773421371631","1.58018422836401","0.716690765024371","-0.355579877732467","-0.200386414739327","1.90303675744602","-0.131104694142196","-0.0659437039177267","0.0212391242430442","2.67028993931119","1.20997288478026","0.940176723411195","13.4791015413312","1.11297423384765","0.934363361275644","0.729012545614675","-1.69113336388922"
"2499","NC-915700-99999","1","-0.5","-1","1","0.896317499825072","0.968504584057246","32.3761857140799","-0.380152116356141","-0.439334997203816","-1.33063277779701","-0.985182181357843","-0.317022632763658","0.706874373240924","0.823793580106245","-0.346567308468039","-0.303355545437313","1.00784761314009","-0.117335968948529","-0.0302912538846864","0.0846996934359612","3.01861817940115","0.984065469328975","0.68182663592053","1.82624640526854","0.775011924390099","0.596485548991942","0.401722326199619","-2.29014415819142"
"2500","NC-915700-99999","1","-0.5","0.2","1","0.959608490060927","0.846844385565415","29.1937527556535","-1.71498366224116","-0.979079673505569","-1.20782251243717","-0.563817277654028","-0.679079578058631","3.5762660387305","0.496087091701383","-0.384666883456475","-0.263857104353129","1.5068782477341","-0.0406477847059094","0.0286722377603949","0.11381467325245","3.30210994368863","0.823155628980697","0.299960173300899","35.0031222451255","1.11659511920968","0.960837715249243","0.792894251311081","-2.41252250720196"
